NAME,DISPLAY (inch),STORAGE (gb),MEMORY (gb),CPU SPEED (GHz),WEIGHT (gm),MAIN CAMERA (mp),FRONT CAMERA (mp),NUMBER OF CAMERAS (back),SUM OF MEGAPIXELS,BATTERY (mAh),CO2E (kg)
Pixel Fold,7.6,256,12,17.6,283,48,9.5,3,57.5,4821,79
Pixel 8,6.4,128,8,21.4,187,62,10.5,2,72.5,4575,60
Pixel 5a,6.4,128,6,15.4,183,28.2,8,2,26.2,4680,79
Pixel 8 Pro,6.7,128,12,21.4,213,146,10.5,3,156.5,5050,59
Pixel 7a,6.1,128,8,17.6,193.5,77,13,2,90,4385,70
Pixel 7,6.4,128,8,17.6,197,62,10.8,2,72.8,4355,85
Pixel 7 Pro,6.7,128,8,17.6,212,110,10.8,3,120.8,5000,65
Pixel 6a,6.4,512,12,14.28,210,110,11.1,3,121.1,5003,85
Pixel 6,6.4,128,8,14.28,207,62,8,2,70,4614,95
Pixel 6 Pro,6.7,128,12,12.28,210,110,11.1,3,121.1,5003,60
Pixel 5a,6.4,128,6,15.4,183,28.2,8,2,36.2,4680,85
Pixel 5,6,128,8,15.4,151,28.2,8,2,36.2,4080,45
Pixel 4a,5.81,128,6,15.24,143,12.2,8,1,20.2,3140,65
Pixel 4a 5G,6.2,128,6,15.4,168,28.2,8,2,36.2,3885,45
Pixel 3a,5.6,64,4,14.2,147,12.2,8,1,20.2,3000,45
Pixel 3a XL,6,64,4,14.2,167,12.2,8,1,20.2,3700,50
Pixel 4,5.7,128,6,17.22,162,28.2,8,2,36.2,2800,75
Pixel 4 XL,6.3,128,6,17.22,193,28.2,8,2,36.2,3700,80
Pixel 2,5,64,4,17,143,12.2,8,1,20.2,2700,66.4
PIxel 2 XL,6,64,4,17,175,12.2,8,1,20.2,3520,71.5
Pixel 3,5.5,64,4,16.4,148,12.2,8,1,20.2,2915,65
Pixel 3 XL,6.3,128,4,16.4,184,12.2,16,1,28.2,3430,70
